Monthly averages of Solar 10.7 cm flux
 Year   Mon   Obsflux    Adjflux    Absflux
 2010   11      82.56      80.77      72.70
 2010   12      84.19      81.59      73.43
 2011    1      83.39      80.73      72.65
 2011    2      94.55      92.26      83.03
 2011    3     124.26     122.91     110.61
 2011    4     112.85     113.61     102.25
 2011    5      95.68      97.79      88.00
 2011    6      95.86      98.88      88.99
 2011    7      94.34      97.43      87.69
 2011    8     101.61     104.16      93.74
 2011    9     135.27     136.68     123.01
 2011   10     137.40     136.52     122.87
 2011   11     153.50     150.23     135.21
 2011   12     141.46     137.07     123.36
 2012    1     134.79     130.49     117.44
 2012    2     106.86     104.29      93.85
 2012    3     115.71     114.53     103.07
 2012    4     113.26     114.14     102.72
 2012    5     121.40     124.12     111.71
 2012    6     120.40     124.19     111.78
 2012    7     137.81     142.31     128.09
 2012    8     115.86     118.75     106.88
 2012    9     123.40     124.70     112.22
 2012   10     123.07     122.22     109.99
 2012   11     121.15     118.45     106.61
 2012   12     108.26     104.87      94.38
 2013    1     126.83     122.78     110.50
 2013    2     104.41     101.90      91.71
 2013    3     111.36     110.22      99.20
 2013    4     124.95     125.84     113.26
 2013    5     131.43     134.33     120.90
 2013    6     110.74     114.25     102.82
 2013    7     115.53     119.29     107.36
 2013    8     114.90     117.75     105.97
 2013    9     102.83     103.91      93.51
 2013   10     132.86     131.92     118.73
 2013   11     148.78     145.55     131.00
 2013   12     148.10     143.49     129.14
 2014    1     162.69     157.50     141.75
 2014    2     170.13     166.01     149.41
 2014    3     150.50     148.97     134.07
 2014    4     143.94     144.92     130.42
 2014    5     130.11     132.95     119.65
 2014    6     122.37     126.22     113.60
 2014    7     137.90     142.40     128.19
 2014    8     124.56     127.67     114.90
 2014    9     146.57     148.12     133.30
 2014   10     154.99     153.91     138.52
 2014   11     155.74     152.30     137.07
 2014   12     159.02     154.07     138.67
 2015    1     142.00     137.48     123.73
 2015    2     128.92     125.77     113.19
 2015    3     126.89     125.58     113.03
 2015    4     129.05     129.93     116.94
 2015    5     120.05     122.65     110.39
 2015    6     128.54     132.60     119.34
 2015    7     107.00     110.50      99.45
 2015    8     105.93     108.59      97.73
 2015    9     101.99     103.04      92.73
 2015   10     104.00     103.30      92.97
 2015   11     109.68     107.32      96.59
 2015   12     112.54     109.02      98.12
 2016    1     103.64     100.33      90.30
 2016    2     103.71     101.17      91.05
 2016    3      91.43      90.50      81.44
 2016    4      93.45      94.12      84.70
 2016    5      93.36      95.47      85.91
 2016    6      81.95      84.55      76.09
 2016    7      86.31      89.12      80.22
 2016    8      85.15      87.25      78.53
 2016    9      87.45      88.39      79.54
 2016   10      86.15      85.61      77.05
 2016   11      78.58      76.85      69.16
 2016   12      75.29      72.94      65.65
 2017    1      77.37      74.91      67.42
 2017    2      76.95      75.11      67.59
 2017    3      74.69      73.95      66.56
 2017    4      80.91      81.46      73.31
 2017    5      73.60      75.25      67.73
 2017    6      74.83      77.19      69.47
 2017    7      77.58      80.11      72.10
 2017    8      78.25      80.18      72.16
 2017    9      95.49      96.55      86.90
 2017   10      76.39      75.90      68.31
 2017   11      72.28      70.70      63.62
 2017   12      71.70      69.46      62.52
 2018    1      70.01      67.78      61.00
 2018    2      71.63      69.96      62.97
 2018    3      68.26      67.58      60.82
 2018    4      69.97      70.45      63.41
 2018    5      70.95      72.53      65.27
 2018    6      72.66      74.95      67.46
 2018    7      69.61      71.88      64.69
 2018    8      69.05      70.78      63.70
 2018    9      68.17      68.90      62.01
